Respondent_ID,open_ended_1,open_ended_2,open_ended_3,open_ended_4,open_ended_5,E_Scale_score,A_Scale_score,O_Scale_score,C_Scale_score,N_Scale_score,Dataset
10446116527,"I would change my vacation week, because I am a better employee than he or she. We can't both be off work at the same time because then the other people at work would suffer because of our selfishness. Also, the other employee/ or even my boss now kind of owes me...","I would reach out to my boss and ask him or her what I needed to get started on this project. I would begin this project ahead of time, since my boss is gonna add crap onto it anyways hopefully it will be earlier if I show him/her my results.",I would not go. I am a not a social person. I don't do well in any crowds. I get social anxiety.,"I would ask my manager why he/she gave me such feedback. But although I may not agree with it and not believe it's true, maybe I am in the wrong. I would ask my manager what I needed to do to correct the wrong. If everything is BS though, and I hate the job, I may just quit.","I would find this experience super enjoyable. I love learning different cultures and languages (I have a minor in Japanese). I would devote a lot of time studying up about Norway, and even ask my company to send me there if the opportunity arises.",2.25,3.75,3.1666666667,3.75,2.9166666667,Train
10440100535,I would talk to my colleague and see if they were willing to change the vacation date because I really need to have this week off. If the colleague was not willing to change it I would go talk to my boss. I would explain to my boss that I would still like to have the week off I requested but if it is not possible than I will take the week after. I would do this like this because I think it would make it easier and I would not want to start a workplace conflict over a vacation week,I would continue to work on the project that was due. If another task came up and I thought that I could complete it in a timely manner without affecting my primary task I would work on it. I would strive to complete my primary task as stated.,I would talk to my colleague and try to talk them into going with me. I would tell them this would be a great opportunity to network with other people. If my colleague still decided not to go I would go anyways. I would go because I feel like this is an opportunity to network and meet new people and I would not want to miss out of that opportunity.,I would feel upset about the negative feedback. I would approach my boss and ask him/her why I was given negative feedback and how I thought it was inaccurate. I would let my boss know that I don't want this to effect my work. I would ask if it was possible that he/she did not give the right feedback.,I would find this experience enjoyable. I feel like learning about another country and culture would be fun. I think knowing more about a country would widen my knowledge about things and would be better for me. I am always interested in learning new things and I just think this would be fun.,4.6666666667,4.4166666667,4.5833333333,5,1.3333333333,Train
10462850071,"I would feel upset because perhaps I already booked something for that week. If I had, I would explain that I can't move the dates around for my planned event. I would maybe try to speak with my boss to have them decide, perhaps if I have been at the company longer. If that didn't work, I would probably try to pick another week and pitch it to my boss before actually booking anything.","I would start working on the project now and get most of the work done so I don't have to worry about it if my boss gives me another last minute task. I would want to take my time and not rush my work on a project instead of feeling stressed out. If I ended up still working on it until it was due, and my boss gave me another task, I would explain I needed to focus on the main project.","I would feel guilty about thinking about not going because I want to impress my client. I would probably talk myself into still going, but getting something to eat first and then coming to the meeting. If it means I can make more money with them I want to be at the meeting no matter how tired I am.",I would feel really defensive about it. I would confront my manager and tell them my side of the story. Before I did that though I would try to be calm and think about what I am going to say instead of just blowing up my anger. It is definitely worth speaking up for if it involves possibly losing my annual bonus.,I would find it enjoyable because I would be relieved that I didn't have to travel there. I can do a lot of research online and watch videos to get a sense of what it is like to be from Norway. I feel like I could spend a lot of time with that and it would make the Norway client appreciate that we are trying to understand their culture.,2.25,4.75,4.0833333333,4.6666666667,2.1666666667,Train
10460008027,"I would suggest that whoever requested the time off first be given priority.  Unless for some reason the vacation can't be rescheduled, maybe because it's been paid for already and can't be refunded.  If that's the case, then I would understand and change my plans.","I would try to finish early because it's always a good idea to finish things as soon as possible.  You never know what might come up, and it may take longer than you anticipate.","I wouldn't want to go, but I'd have to weigh the importance of the client's wishes with my own.  If it is an important meeting, or something the client really wants me to attend, I guess I would go.","I would first wait until I'm calm.  Then I would compose a response to the feedback, trying my best to compile evidence supporting my opinions.  Then I would schedule a meeting with my manager to discuss the issues.","I would love to have the opportunity to learn about and experience a different culture, with or without the travel.  I think it would be a wonderful experience.",2.9166666667,4.0833333333,3.9166666667,4.9166666667,1.3333333333,Train
10459746373,I would talk to my colleague to see if he has reservations. If not I would try to have him change his vacation since you requested it off first. If he/she won't change their vacation I would change mine but not be happy about it.,I would remind my boss that I am working on this project. I would ask my supervisor if they have any other projects for me to work on well in advance of the due date. I would explain that I would like enough time to complete any projects well and would appreciate the time to do them correctly,I would go anyway. Networking is a good way to advance my career. It would look good to the client if I go. I can introduce myself to people.,"I would talk to my manager first and get some more details for why he gave me the feedback. I would then explain why I do not agree with it, If we can't come to a consensus I would then go to Human Resources to try to get this solved.",I would find this experience enjoyable as I am curious about other countries and cultures. I would do the best job possible so I can get similar assignments in other countries. Maybe I could travel to some of the countries on business.,3.75,4.75,3.6666666667,4.9166666667,1.5833333333,Train
10460002321,"It would depend on how serious my plans were. If I were going on vacation for example and I already had my tickets purchased for whatever I was going to, I wouldn't budge and say I need that week. Now if I just wanted time off then I would take a different week off that year.","I would speak with my boss and let him know that I have a heavy workload and ask that he doesn't give me any extra projects until I had finished. If he still had to give me something then I would ask if I could work overtime. If I can't do that, then I guess just work extra hard.","I most likely wouldn't go, but then again if I could network with people I don't see that as a bad thing. Depending on how nice the client is and the people there I might go and just not say anything about my colleague not wanting to come. If they aren't so nice then I would claim I'm sick or have other plans.","I would speak to my manager and explain to them why I feel the negative feedback isn't justified. I would try and have them look at all sides and see if I can convince them. If that doesn't work I may go above my boss, go to whoever is above them and explain the situation.","I personally would find this experience enjoyable. I love traveling and going to new places, and if I got paid for it that would be a bonus in my opinion. Now if the travel expenses weren't paid for, or I didn't get paid I may not go. It depends on the situation",3.1666666667,3.1666666667,3.75,3.9166666667,3.0833333333,Train
10459689609,I would inquire as to who requested the vacation first. It seems that it would be fair to give the vacation week to the person who asked first. I would agree to give up the week if my coworker requested it first.,I would handle this project by trying to stay ahead on my work. This would allow time to work on last minute tasks from my boss. I would also let my boss know about the project if I needed time away from his last minute tasks.,I would encourage my colleague to attend the meeting with me. If my colleague will not go I would still go. I think this meeting is important and is worth attending even if I do not know anyone there.,I feel very upset about this situation. I will ask my manager if I can respond to the feedback in writing or some way that will stay with my file. I would fight to have this issue resolved.,I would find this experience enjoyable. It would be challenging but it would not be boring. It is always fun to learn new things about other cultures.,4.0833333333,4.1666666667,3.8333333333,4,2.25,Train
10440109643,I would see what their reasoning is for the time off.  If it is more important than mine then I would switch.  If the person was just staying home then I would fight to keep my time off.,I would let my boss know that I have a full schedule.  Hopefully the boss will understand.  If not then I may have to work extra hours to get my project done on time.,I would go.  It would be great time to meet the clients and get to know them better.  I do not care if I go alone.  It would actually make it easier for me schedule if I am by myself.,"I would not be happy.  Whether is was justified or not, it may affect my bonus.  I would probably go to HR to revisit the situation.  If the situation was very dire I would risk my job to get the manager in trouble.",I would think this was a great opportunity.  Learning about Norway would be a great task.  The travel aspect wouldn't be that bad if needed.   I would volunteer.,3.75,4,4.1666666667,4.1666666667,1.5833333333,Train
10459770893,"If my scheduled vacation can be altered with not much inconvenience to the people involved, I can always just give in.  It will be easy if my family/friends are not involved. I always adjust as much as possible.",I always start projects as soon as possible.  I hate procrastinating.  A job needs to be done right away in case there are problems that may  come up.,I would go to the meeting with one of our largest clients. I can go alone if I have to.  It is not important if I don't know anyone there.,I would definitely speak up.  It is important to me to know why I received such negative feedback.  It is the only way I can make sure not to  make the same mistakes.,I will surely find this experience enjoyable.  I like challenges but I do not like to travel. This is perfect.,3.5833333333,4,3.1666666667,4.75,2.3333333333,Train
10446123182,"I would evaluate the option of rescheduling my vacation to ease the stress. Then I would also ask my coworker to do the same. We should discuss the nature of our vacations and how convenient or inconvenient it would be for either of us to reschedule. Ultimately, I would probably be the one to reschedule.",I understand the nature of my job. Making sure I keep my schedule clear and stay ahead of tasks will help me achieve my goals. I will ask my supervisor to please give me adequate notice for any additional workload.,"I would explain the benefit of the both of us attending. Then I would offer to drive us there. In addition, I would offer to take my coworker home after to help relieve pressure and to carpool for convenience.",I am not happy about this situation. Feeling inferior or wrongly criticized is helpless. I want a chance to be heard.,"I would find this enjoyable. The opportunity to learn about a different culture is exciting. With these skills, I should be able to impress our new client.",3.75,4.5833333333,4.0833333333,4.9166666667,1.25,Train
10459709534,"I would reconsider my plans, and see if they were more flexible than my co-worker's. If they weren't, then I would talk to my co-worker to see what their plans were, and if it was a scheduling issue, or their stubborn self not wanted to switch weeks. Most likely though, as I'm very good at planning, I would most likely relinquish the week, as I wouldn't plan my vacation until I received the go-ahead from my boss.","I would finish my project as soon as possible. Then I would get started on the other work until it was finished. After submitting it to my boss, I would fine-tooth-comb my project before the due date.","I would not want to go to the meeting anyways. So, I would breathe easy knowing I wouldn't be hassled into going by my friend. I would see no point in going.","I would immediately go to discuss it with my manager. If we didn't see eye to eye, and his/her explanation didn't satisfy me, and I was still 100% certain that I wasn't in the wrong, I'd go over their head. I would then bring my issue up to the higher-ups, and seek a good resolution there.","I would probably find it boring. Norway doesn't sound that interesting, honestly, and I would probably have other work to do. I guess it wouldn't be bad, but I wouldn't be excited at all about it.",3.75,4.4166666667,5,5,1,Train
10440097952,"I would change my vacation if I hadn't put any money down that I would lose. It would be annoying that my coworker was not budging, but I don't think it is that big of a deal. It would also make me look like I am willing to work for the betterment of the company.","I would work on it immediately and get it over with. I wouldn't want to be struggle to meet deadlines if some other work came in. I think my boss would think highly of me to have worked on it now, so that I would have the time to tackle the later projects without rushing and risking making a mistake. I think working on it early would show I was organized and efficient.",I would try to convince my colleague to go with me. I would explain it could be good for business and our jobs. I would also talk about it being fun if we do it together.,"I would be upset and would want to make sure I really understood the situation. I might not agree, because I don't fully understand everything. I would have a long conversation with my manager so that I could prevent doing this again in the future. I would hope my boss would see I cared and was open to discussion and wouldn't hold it against me, but would realize that I am trying to do a better job.",I would enjoy it. I like to learn about other countries cultures. I would be eager to communicate with an overseas partner so I could learn more about them. I would also secretly hope I would have an excuse to visit them so I could travel. I think it would be enjoyable.,4.8333333333,4.9166666667,5,5,2.1666666667,Train
10446123387,"I would feel that whoever had scheduled it first should be entitled to it. The situation described does not indicate who requested the vacation first. Assuming that I requested it second I suppose I would have to go along with not being able to take the vacation week. By the same note if they requested it after me I believe they should have to work it. I understand that they are not willing to change in the situation, but I just do not see a reason for me to cave into that should I have put in for the vacation first.",I would go ahead and get the project as completed as possible. Given that the boss tends to give me last tasks that can take a while it could put me in a bad situation if I were to put off my current project. The sooner I finish the initial project the better prepared I will be for any unforeseen situations coming from extra tasks.,I would be fine whether or not they went. Though I would probably try and convince them to. It seems to me it would be a good chance to do some networking. In my experience social networking has done a lot for me personally and can be a valuable asset.,"I would feel that it is a bit unfair given the situation. I would probably try and present information to the contrary that proves otherwise. I obviously would not want this to effect me negatively, so I would do what I could to change that feedback if at all possible.",I would find this experience enjoyable. I have never been to Norway nor do I know much information about it. Interacting with people abroad can prove to be an interesting experience. I may well learn something valuable from this.,3.75,3.75,3.5833333333,4,2,Train
10459957620,I would change my vacation plans.  I would be positive.  I would hope for the best.,I would try to finish the project.  I would want it done.  Then I wouldn't have to worry about other tasks.,I would beg my colleague to go. I would try to get that person to go.  If not I would go and make the best of it.,I would explain my side of the situation.  I would not want to lose a bonus.  I would tell my manager and hope for the best.,I would find it boring.  I would rather do something else.  Learning is no fun without travel.,3.3333333333,4.0833333333,3.9166666667,4.0833333333,1.75,Train
10440100847,i would go ahead and change my vacation plans. i would choose another date for my vacation. it would look good to my employer if i do this.  i also would be securing my job in this manner also.,i would work on the project right away. as my employer can give me extra duties at any time working on the project now guarantees completion. if my employer gives me other duties i will have the time yo meet them. if my employer does not give me extra duties i can take some relaxation time.,"i would go. even if i will not know anyone there, it is the right thing to do employment-wise. this also helps secure my job.","i am not happy about the situation. i would bring this up with my manager, stating what i feel is correct and what is incorrect. in this way i would not lose any bonuses and such. it also would help protect my job.","i would find it very enjoyable. i would be learning of a new culture, i would be learning of a new country. i may also be meeting people from a new country as well.",2.8333333333,4.1666666667,3.3333333333,3.8333333333,2.25,Train
10459853353,"I would probably agree to go at a different time. I am an ""empty nester"" at this point, so I don't have to worry about kids, etc. So, my vacation plans are variable.","Knowing my boss might add last-minute tasks, I would make my own deadline for the project a few days earlier. That way, I build in time to allow for extra projects that might come up.","I would go anyway. If my colleague doesn't go, it means I will be forced to make new acquaintances that might be beneficial for my job. Never miss an opportunity to network!","I would give myself a couple of days to think about the feedback, so that I can distance myself from the emotion of the negative feedback. Then, if I still don't agree with the manager, I would ask for a private meeting to discuss it, providing evidence for why I think it is wrong. I also would be careful to document everything.","I think it would interesting to learn a few things about Norway and its culture. And while I would not necessarily need to travel, perhaps there is the potential of visiting Norway at the company's expense. Plus, it's an opportunity that could lead to something better.",3.3333333333,3.9166666667,4.3333333333,4.5833333333,1.1666666667,Train
